species	ind	date	jday	julian	total	new	senesced
luzonicum_farm	luz3	2013-10-12	285	13285	25	0	0
luzonicum_farm	luz3	2013-11-09	313	13313	25	0	0
luzonicum_farm	luz3	2013-12-28	362	13362	25	0	0
luzonicum_farm	luz3	2014-03-10	69	14069	8	4	21
luzonicum_farm	luz3	2014-03-22	81	14081	27	20	1
luzonicum_farm	luz3	2014-04-13	103	14103	29	9	0
luzonicum_farm	luz3	2014-04-26	116	14116	29	1	1
luzonicum_farm	luz3	2014-05-17	137	14137	28	0	0
luzonicum_farm	luz3	2014-06-01	152	14152	28	0	0
luzonicum_farm	luz3	2014-06-21	172	14172	28	0	0
luzonicum_farm	luz3	2014-08-17	229	14229	24	0	4
luzonicum_farm	luz3	2014-10-04	277	14277	22	0	2
luzonicum_farm	luz3	2014-11-03	307	14307	22	0	0
luzonicum_farm	luz3	2014-11-22	326	14326	22	0	0
luzonicum_farm	luz3	2014-12-27	361	14361	19	0	3
luzonicum_farm	luz3	2015-02-02	33	15033	0	0	19
luzonicum_farm	luz3	2015-02-28	59	15059	0	0	0
luzonicum_farm	luz3	2015-03-29	88	15088	32	32	0
luzonicum_farm	luz3	2015-04-26	116	15116	32	0	0
luzonicum_farm	luz3	2015-06-02	153	15153	32	0	0
luzonicum_farm	luz4	2013-05-02	122	13122	16	0	0
luzonicum_farm	luz4	2013-06-02	153	13153	16	0	0
luzonicum_farm	luz4	2013-07-07	188	13188	16	0	0
luzonicum_farm	luz4	2013-08-09	221	13221	16	0	0
luzonicum_farm	luz4	2013-09-14	257	13257	16	0	0
luzonicum_farm	luz4	2013-10-12	285	13285	16	0	0
luzonicum_farm	luz4	2013-11-09	313	13313	16	0	0
luzonicum_farm	luz4	2013-12-28	362	13362	16	0	0
luzonicum_farm	luz4	2014-03-10	69	14069	0	0	16
luzonicum_farm	luz4	2014-03-22	81	14081	12	12	0
luzonicum_farm	luz4	2014-04-13	103	14103	12	0	0
luzonicum_farm	luz4	2014-04-26	116	14116	12	0	0
luzonicum_farm	luz4	2014-05-17	137	14137	16	4	0
luzonicum_farm	luz4	2014-06-01	152	14152	16	0	0
luzonicum_farm	luz4	2014-06-21	172	14172	16	0	0
luzonicum_farm	luz4	2014-08-17	229	14229	15	0	1
luzonicum_farm	luz4	2014-10-04	277	14277	12	0	3
luzonicum_farm	luz4	2014-11-03	307	14307	10	0	2
luzonicum_farm	luz4	2014-11-22	326	14326	8	0	2
luzonicum_farm	luz4	2014-12-27	361	14361	7	0	1
luzonicum_farm	luz4	2015-02-02	33	15033	7	0	0
luzonicum_farm	luz4	2015-02-28	59	15059	7	0	0
luzonicum_farm	luz4	2015-03-29	88	15088	16	9	0
luzonicum_farm	luz4	2015-04-26	116	15116	16	0	0
luzonicum_farm	luz4	2015-06-02	153	15153	16	0	0
luzonicum_tbg	luz5	2014-01-16	16	14016	6	0	0
luzonicum_tbg	luz5	2014-02-13	44	14044	6	0	0
luzonicum_tbg	luz5	2014-03-13	72	14072	6	0	0
luzonicum_tbg	luz5	2014-03-27	86	14086	6	0	0
luzonicum_tbg	luz5	2014-04-10	100	14100	51	45	0
luzonicum_tbg	luz5	2014-04-24	114	14114	65	14	0
luzonicum_tbg	luz5	2014-05-15	135	14135	81	6	0
luzonicum_tbg	luz5	2014-06-12	163	14163	86	5	0
luzonicum_tbg	luz5	2014-07-17	198	14198	125	39	0
luzonicum_tbg	luz5	2014-08-14	226	14226	121	5	9
luzonicum_tbg	luz5	2014-09-18	261	14261	84	0	37
luzonicum_tbg	luz5	2014-10-16	289	14289	32	0	52
luzonicum_tbg	luz5	2014-11-13	317	14317	27	0	5
luzonicum_tbg	luz5	2014-12-18	352	14352	27	0	0
luzonicum_tbg	luz5	2015-01-01	1	15001	26	0	1
luzonicum_tbg	luz6	2013-06-06	157	13157	46	0	0
luzonicum_tbg	luz6	2013-07-04	185	13185	65	19	0
luzonicum_tbg	luz6	2013-08-08	220	13220	70	5	0
luzonicum_tbg	luz6	2013-09-12	255	13255	60	0	10
luzonicum_tbg	luz6	2013-10-10	283	13283	54	0	6
luzonicum_tbg	luz6	2013-11-07	311	13311	40	0	14
luzonicum_tbg	luz6	2013-12-26	360	13360	20	0	20
luzonicum_tbg	luz6	2014-01-16	16	14016	20	0	0
luzonicum_tbg	luz6	2014-02-13	44	14044	20	0	3
luzonicum_tbg	luz6	2014-03-13	72	14072	25	8	0
luzonicum_tbg	luz6	2014-03-27	86	14086	27	2	0
luzonicum_tbg	luz6	2014-04-10	100	14100	32	5	0
luzonicum_tbg	luz6	2014-04-24	114	14114	33	1	0
luzonicum_tbg	luz6	2014-05-15	135	14135	43	10	0
luzonicum_tbg	luz6	2014-06-12	163	14163	57	14	0
luzonicum_tbg	luz6	2014-07-17	198	14198	53	3	7
luzonicum_tbg	luz6	2014-08-14	226	14226	35	1	19
luzonicum_tbg	luz6	2014-09-18	261	14261	25	0	10
luzonicum_tbg	luz6	2014-10-16	289	14289	25	8	8
luzonicum_tbg	luz6	2014-11-06	310	14310	23	0	2
luzonicum_tbg	luz6	2014-11-20	324	14324	22	0	1
luzonicum_tbg	luz6	2014-12-11	345	14345	21	0	1
luzonicum_tbg	luz6	2015-01-01	1	15001	21	0	0
luzonicum_tbg	luz7	2013-06-06	157	13157	70	0	0
luzonicum_tbg	luz7	2013-07-04	185	13185	105	35	0
luzonicum_tbg	luz7	2013-08-08	220	13220	117	12	0
luzonicum_tbg	luz7	2013-09-12	255	13255	97	5	25
luzonicum_tbg	luz7	2013-10-10	283	13283	66	0	31
luzonicum_tbg	luz7	2013-11-07	311	13311	35	0	31
luzonicum_tbg	luz7	2013-12-26	360	13360	31	8	12
luzonicum_tbg	luz7	2014-01-16	16	14016	31	0	0
luzonicum_tbg	luz7	2014-02-13	44	14044	29	0	2
luzonicum_tbg	luz7	2014-03-06	65	14065	47	19	1
luzonicum_tbg	luz7	2014-03-20	79	14079	99	52	0
luzonicum_tbg	luz7	2014-04-10	100	14100	125	26	0
luzonicum_tbg	luz7	2014-04-24	114	14114	123	0	2
luzonicum_tbg	luz7	2014-05-15	135	14135	130	7	0
luzonicum_tbg	luz7	2014-06-12	163	14163	132	4	4
luzonicum_tbg	luz7	2014-07-17	198	14198	175	46	3
luzonicum_tbg	luz7	2014-08-14	226	14226	176	7	6
luzonicum_tbg	luz7	2014-09-18	261	14261	135	1	42
luzonicum_tbg	luz7	2014-10-02	275	14275	122	0	13
luzonicum_tbg	luz7	2014-11-06	310	14310	76	0	46
luzonicum_tbg	luz7	2014-12-25	359	14359	59	0	17
luzonicum_danfeng	luz11	2013-06-06	157	13157	42	0	0
luzonicum_danfeng	luz11	2013-07-04	185	13185	57	15	0
luzonicum_danfeng	luz11	2013-08-08	220	13220	59	2	0
luzonicum_danfeng	luz11	2013-09-05	248	13248	52	0	7
luzonicum_danfeng	luz12	2013-06-06	157	13157	44	0	0
luzonicum_danfeng	luz12	2013-07-04	185	13185	46	2	0
luzonicum_danfeng	luz12	2013-08-08	220	13220	35	0	11
luzonicum_danfeng	luz12	2013-09-12	255	13255	27	0	8
luzonicum_danfeng	luz12	2013-10-10	283	13283	53	26	0
luzonicum_danfeng	luz12	2013-11-07	311	13311	46	0	7
luzonicum_danfeng	luz12	2013-12-26	360	13360	29	0	17
luzonicum_danfeng	luz12	2014-01-16	16	14016	24	0	5
luzonicum_danfeng	luz12	2014-02-13	44	14044	19	0	5
luzonicum_danfeng	luz12	2014-03-13	72	14072	44	35	10
luzonicum_danfeng	luz12	2014-03-27	86	14086	46	2	0
luzonicum_danfeng	luz12	2014-04-10	100	14100	58	12	0
luzonicum_danfeng	luz12	2014-04-24	114	14114	58	0	0
luzonicum_danfeng	luz12	2014-05-15	135	14135	62	6	2
luzonicum_danfeng	luz12	2014-06-12	163	14163	98	36	0
luzonicum_danfeng	luz12	2014-07-10	191	14191	103	12	7
luzonicum_danfeng	luz12	2014-08-14	226	14226	113	25	15
luzonicum_danfeng	luz12	2014-09-04	247	14247	121	19	11
luzonicum_danfeng	luz12	2014-10-02	275	14275	85	0	36
luzonicum_danfeng	luz12	2014-11-06	310	14310	75	0	10
luzonicum_danfeng	luz12	2014-11-20	324	14324	67	0	8
luzonicum_danfeng	luz12	2015-01-01	1	15001	25	0	42
luzonicum_danfeng	luz13	2013-06-06	157	13157	35	0	0
luzonicum_danfeng	luz13	2013-07-18	199	13199	35	2	2
luzonicum_danfeng	luz13	2013-08-15	227	13227	49	14	0
luzonicum_danfeng	luz13	2013-09-12	255	13255	0	0	49
luzonicum_danfeng	luz14	2013-06-06	157	13157	33	0	0
luzonicum_danfeng	luz14	2013-07-04	185	13185	41	8	0
luzonicum_danfeng	luz14	2013-08-08	220	13220	47	6	0
luzonicum_danfeng	luz14	2013-09-12	255	13255	0	0	47
luzonicum_danfeng	luz15	2013-06-06	157	13157	32	0	0
luzonicum_danfeng	luz15	2013-07-04	185	13185	25	0	7
luzonicum_danfeng	luz15	2013-08-08	220	13220	26	13	12
luzonicum_danfeng	luz15	2013-09-12	255	13255	26	0	0
luzonicum_danfeng	luz15	2013-10-10	283	13283	25	1	2
luzonicum_danfeng	luz15	2013-11-07	311	13311	23	0	2
luzonicum_danfeng	luz15	2013-12-26	360	13360	12	0	11
luzonicum_danfeng	luz15	2014-01-16	16	14016	11	0	1
luzonicum_danfeng	luz15	2014-02-13	44	14044	5	0	6
luzonicum_danfeng	luz15	2014-03-13	72	14072	37	32	0
luzonicum_danfeng	luz15	2014-03-27	86	14086	41	4	0
luzonicum_danfeng	luz15	2014-04-10	100	14100	41	0	0
luzonicum_danfeng	luz15	2014-04-24	114	14114	41	0	0
luzonicum_danfeng	luz15	2014-05-15	135	14135	40	0	1
luzonicum_danfeng	luz15	2014-06-12	163	14163	40	0	0
luzonicum_danfeng	luz15	2014-07-17	198	14198	45	5	0
luzonicum_danfeng	luz15	2014-08-14	226	14226	40	0	5
luzonicum_danfeng	luz15	2014-09-11	254	14254	36	0	4
luzonicum_danfeng	luz15	2014-10-02	275	14275	31	0	5
luzonicum_danfeng	luz15	2014-11-06	310	14310	22	0	9
luzonicum_danfeng	luz15	2014-11-27	331	14331	13	0	9
luzonicum_danfeng	luz15	2015-01-01	1	15001	5	0	8
luzonicum_danfeng	luz16	2013-10-17	290	13290	38	0	0
luzonicum_danfeng	luz16	2013-11-07	311	13311	25	0	13
luzonicum_danfeng	luz16	2013-12-26	360	13360	15	6	16
luzonicum_danfeng	luz16	2014-01-16	16	14016	17	2	0
luzonicum_danfeng	luz16	2014-02-13	44	14044	19	2	0
luzonicum_danfeng	luz16	2014-03-13	72	14072	39	20	0
luzonicum_danfeng	luz16	2014-03-27	86	14086	42	3	0
luzonicum_danfeng	luz16	2014-04-10	100	14100	50	8	0
luzonicum_danfeng	luz16	2014-04-24	114	14114	52	2	0
luzonicum_danfeng	luz16	2014-05-15	135	14135	57	5	0
luzonicum_danfeng	luz16	2014-06-12	163	14163	58	2	1
luzonicum_danfeng	luz16	2014-07-10	191	14191	70	12	0
luzonicum_danfeng	luz16	2014-08-14	226	14226	67	0	3
luzonicum_danfeng	luz16	2014-09-11	254	14254	63	0	4
luzonicum_danfeng	luz16	2014-10-16	289	14289	51	0	12
luzonicum_danfeng	luz16	2014-11-06	310	14310	24	0	27
luzonicum_danfeng	luz16	2014-11-27	331	14331	26	2	0
luzonicum_danfeng	luz16	2015-01-01	1	15001	21	0	5
luzonicum_danfeng	luz17	2013-10-17	290	13290	23	0	0
luzonicum_danfeng	luz17	2013-11-07	311	13311	19	0	4
luzonicum_danfeng	luz17	2013-12-26	360	13360	0	0	19
luzonicum_danfeng	luz17	2014-01-16	16	14016	0	0	0
luzonicum_danfeng	luz17	2014-02-13	44	14044	10	10	0
luzonicum_danfeng	luz17	2014-03-13	72	14072	39	29	0
luzonicum_danfeng	luz17	2014-03-27	86	14086	43	4	0
luzonicum_danfeng	luz17	2014-04-10	100	14100	44	1	0
luzonicum_danfeng	luz17	2014-04-24	114	14114	44	0	0
luzonicum_danfeng	luz17	2014-05-15	135	14135	51	7	0
luzonicum_danfeng	luz17	2014-06-12	163	14163	57	15	0
luzonicum_danfeng	luz17	2014-07-10	191	14191	58	2	1
luzonicum_danfeng	luz17	2014-08-14	226	14226	52	0	6
luzonicum_danfeng	luz17	2014-09-11	254	14254	47	0	5
luzonicum_danfeng	luz17	2014-10-16	289	14289	40	0	7
luzonicum_danfeng	luz17	2014-11-06	310	14310	14	0	26
luzonicum_danfeng	luz17	2014-11-27	331	14331	7	0	7
luzonicum_danfeng	luz17	2015-01-01	1	15001	2	0	5
luzonicum_danfeng	luz18	2013-10-17	290	13290	29	0	0
luzonicum_danfeng	luz18	2013-11-07	311	13311	29	0	0
luzonicum_danfeng	luz18	2013-12-26	360	13360	7	0	22
luzonicum_danfeng	luz18	2014-01-16	16	14016	0	0	7
luzonicum_danfeng	luz18	2014-02-13	44	14044	0	0	0
luzonicum_danfeng	luz18	2014-03-13	72	14072	47	47	0
luzonicum_danfeng	luz18	2014-03-27	86	14086	47	0	0
luzonicum_danfeng	luz18	2014-04-10	100	14100	47	0	0
luzonicum_danfeng	luz18	2014-04-24	114	14114	47	0	0
luzonicum_danfeng	luz18	2014-05-15	135	14135	50	3	0
luzonicum_danfeng	luz18	2014-06-12	163	14163	55	6	1
luzonicum_danfeng	luz18	2014-07-10	191	14191	58	6	3
luzonicum_danfeng	luz18	2014-08-14	226	14226	61	3	0
luzonicum_danfeng	luz18	2014-09-11	254	14254	48	0	13
luzonicum_danfeng	luz18	2014-10-16	289	14289	39	0	9
luzonicum_danfeng	luz18	2014-11-06	310	14310	21	0	18
luzonicum_danfeng	luz18	2014-11-27	331	14331	17	0	4
luzonicum_danfeng	luz18	2015-01-01	1	15001	12	0	5
luzonicum_danfeng	luz19	2014-01-16	16	14016	0	0	0
luzonicum_danfeng	luz19	2014-02-13	44	14044	0	0	0
luzonicum_danfeng	luz19	2014-03-13	72	14072	68	68	0
luzonicum_danfeng	luz19	2014-03-27	86	14086	82	14	0
luzonicum_danfeng	luz19	2014-04-10	100	14100	87	5	0
luzonicum_danfeng	luz19	2014-04-24	114	14114	91	4	0
luzonicum_danfeng	luz19	2014-05-15	135	14135	94	3	0
luzonicum_danfeng	luz19	2014-06-12	163	14163	106	12	0
luzonicum_danfeng	luz19	2014-07-10	191	14191	109	15	12
luzonicum_danfeng	luz19	2014-08-14	226	14226	85	0	24
luzonicum_danfeng	luz19	2014-09-11	254	14254	75	0	10
luzonicum_danfeng	luz19	2014-10-16	289	14289	60	0	15
luzonicum_danfeng	luz19	2014-11-06	310	14310	14	0	46
luzonicum_danfeng	luz19	2014-11-27	331	14331	4	0	10
luzonicum_danfeng	luz19	2015-01-01	1	15001	0	0	4
formosanum	form1	2013-06-07	158	13158	36	0	0
formosanum	form1	2013-07-05	186	13186	34	0	2
formosanum	form1	2013-08-09	221	13221	26	0	8
formosanum	form1	2013-09-13	256	13256	24	0	2
formosanum	form1	2013-10-11	284	13284	12	0	12
formosanum	form1	2013-11-08	312	13312	7	0	5
formosanum	form1	2013-12-27	361	13361	0	0	7
formosanum	form1	2014-01-17	17	14017	0	0	0
formosanum	form1	2014-02-14	45	14045	0	0	0
formosanum	form1	2014-03-14	73	14073	6	6	0
formosanum	form1	2014-03-28	87	14087	49	43	0
formosanum	form1	2014-04-11	101	14101	55	6	0
formosanum	form1	2014-04-25	115	14115	56	2	1
formosanum	form1	2014-05-16	136	14136	60	4	0
formosanum	form1	2014-06-13	164	14164	61	9	8
formosanum	form1	2014-07-11	192	14192	53	0	8
formosanum	form1	2014-08-15	227	14227	51	0	1
formosanum	form1	2014-09-12	255	14255	36	0	4
formosanum	form1	2014-10-03	276	14276	22	0	14
formosanum	form1	2014-11-07	311	14311	8	0	14
formosanum	form1	2014-11-28	332	14332	4	0	4
formosanum	form1	2015-01-02	2	15002	0	0	4
formosanum	form2	2013-06-07	158	13158	27	0	0
formosanum	form2	2013-07-05	186	13186	26	0	1
formosanum	form2	2013-08-09	221	13221	19	0	7
formosanum	form2	2013-09-13	256	13256	23	4	0
formosanum	form2	2013-10-11	284	13284	23	0	0
formosanum	form2	2013-11-08	312	13312	20	0	3
formosanum	form2	2013-12-27	361	13361	2	0	18
formosanum	form2	2014-01-17	17	14017	0	0	2
formosanum	form2	2014-02-14	45	14045	0	0	0
formosanum	form2	2014-03-14	73	14073	26	26	0
formosanum	form2	2014-03-28	87	14087	26	0	0
formosanum	form2	2014-04-11	101	14101	28	2	0
formosanum	form2	2014-04-25	115	14115	28	0	0
formosanum	form2	2014-05-16	136	14136	30	2	0
formosanum	form2	2014-06-13	164	14164	30	0	0
formosanum	form2	2014-07-11	192	14192	23	0	7
formosanum	form2	2014-08-15	227	14227	23	0	0
formosanum	form2	2014-09-12	255	14255	19	0	2
formosanum	form2	2014-10-03	276	14276	19	0	0
formosanum	form2	2014-11-07	311	14311	17	0	2
formosanum	form2	2014-11-28	332	14332	15	0	2
formosanum	form2	2015-01-02	2	15002	2	0	13
formosanum	form3	2013-06-07	158	13158	10	0	0
formosanum	form3	2013-07-05	186	13186	10	0	0
formosanum	form3	2013-08-09	221	13221	10	0	0
formosanum	form3	2013-09-13	256	13256	10	0	0
formosanum	form3	2013-10-11	284	13284	10	0	0
formosanum	form3	2013-11-08	312	13312	9	0	1
formosanum	form3	2013-12-27	361	13361	0	0	9
formosanum	form3	2014-01-17	17	14017	0	0	0
formosanum	form3	2014-02-14	45	14045	0	0	0
formosanum	form3	2014-03-14	73	14073	0	0	0
formosanum	form3	2014-03-28	87	14087	14	14	0
formosanum	form3	2014-04-11	101	14101	14	0	0
formosanum	form3	2014-04-25	115	14115	14	0	0
formosanum	form3	2014-05-16	136	14136	13	0	1
formosanum	form3	2014-06-13	164	14164	13	0	0
formosanum	form3	2014-07-11	192	14192	13	0	0
formosanum	form3	2014-08-15	227	14227	13	0	0
formosanum	form3	2014-09-12	255	14255	13	0	0
formosanum	form3	2014-10-03	276	14276	13	0	0
formosanum	form3	2014-11-07	311	14311	13	0	0
formosanum	form3	2014-11-28	332	14332	10	0	3
formosanum	form3	2015-01-02	2	15002	0	0	10
formosanum	form4	2013-06-07	158	13158	22	0	0
formosanum	form4	2013-07-05	186	13186	21	0	1
formosanum	form4	2013-08-09	221	13221	18	0	3
formosanum	form4	2013-09-13	256	13256	18	0	0
formosanum	form4	2013-10-11	284	13284	18	0	0
formosanum	form4	2013-11-08	312	13312	17	0	1
formosanum	form4	2013-12-27	361	13361	0	0	17
formosanum	form4	2014-01-17	17	14017	0	0	0
formosanum	form4	2014-02-14	45	14045	0	0	0
formosanum	form4	2014-03-14	73	14073	0	0	0
formosanum	form4	2014-03-28	87	14087	42	42	0
formosanum	form4	2014-04-11	101	14101	44	2	0
formosanum	form4	2014-04-25	115	14115	44	0	0
formosanum	form4	2014-05-16	136	14136	44	0	0
formosanum	form4	2014-06-13	164	14164	44	0	0
formosanum	form4	2014-07-11	192	14192	38	0	6
formosanum	form4	2014-08-15	227	14227	30	0	8
formosanum	form4	2014-09-12	255	14255	28	0	2
formosanum	form4	2014-10-03	276	14276	27	0	1
formosanum	form4	2014-11-07	311	14311	14	0	13
formosanum	form4	2014-11-28	332	14332	1	0	13
formosanum	form4	2015-01-02	2	15002	0	0	1
formosanum	form5	2013-06-07	158	13158	20	0	0
formosanum	form5	2013-07-05	186	13186	20	0	0
formosanum	form5	2013-08-09	221	13221	17	0	3
formosanum	form5	2013-09-13	256	13256	17	0	0
formosanum	form5	2013-10-11	284	13284	2	0	15
formosanum	form5	2013-11-08	312	13312	0	0	2
formosanum	form5	2013-12-27	361	13361	0	0	0
formosanum	form5	2014-01-17	17	14017	0	0	0
formosanum	form5	2014-02-14	45	14045	0	0	0
formosanum	form5	2014-03-14	73	14073	11	11	0
formosanum	form5	2014-03-28	87	14087	12	1	0
formosanum	form5	2014-04-11	101	14101	18	6	0
formosanum	form5	2014-04-25	115	14115	22	4	0
formosanum	form5	2014-05-16	136	14136	18	0	4
formosanum	form5	2014-06-13	164	14164	18	0	0
formosanum	form5	2014-07-11	192	14192	16	0	2
formosanum	form5	2014-08-15	227	14227	11	0	5
formosanum	form5	2014-09-12	255	14255	3	0	2
formosanum	form5	2014-10-03	276	14276	3	0	0
formosanum	form5	2014-11-07	311	14311	2	0	1
formosanum	form5	2014-11-28	332	14332	1	0	1
formosanum	form5	2015-01-02	2	15002	0	0	1
formosanum	form6	2013-06-07	158	13158	21	0	0
formosanum	form6	2013-07-05	186	13186	21	0	0
formosanum	form6	2013-08-09	221	13221	21	0	0
formosanum	form6	2013-09-13	256	13256	21	0	0
formosanum	form6	2013-10-11	284	13284	21	0	0
formosanum	form6	2013-11-08	312	13312	21	0	0
formosanum	form6	2013-12-27	361	13361	9	0	12
formosanum	form6	2014-01-17	17	14017	0	0	9
formosanum	form6	2014-02-14	45	14045	0	0	0
formosanum	form6	2014-03-14	73	14073	26	26	0
formosanum	form6	2014-03-28	87	14087	15	0	11
formosanum	form6	2014-04-11	101	14101	17	2	0
formosanum	form6	2014-04-25	115	14115	17	0	0
formosanum	form6	2014-05-16	136	14136	30	13	0
formosanum	form6	2014-06-13	164	14164	34	4	0
formosanum	form6	2014-07-11	192	14192	34	0	0
formosanum	form6	2014-08-15	227	14227	33	0	1
formosanum	form6	2014-09-12	255	14255	33	0	0
formosanum	form6	2014-10-03	276	14276	32	0	1
formosanum	form6	2014-11-07	311	14311	28	0	4
formosanum	form6	2014-11-28	332	14332	24	0	4
formosanum	form6	2015-01-02	2	15002	9	0	15
formosanum	form7	2014-01-17	17	14017	0	0	0
formosanum	form7	2014-02-14	45	14045	0	0	0
formosanum	form7	2014-03-14	73	14073	18	18	0
formosanum	form7	2014-03-28	87	14087	22	4	0
formosanum	form7	2014-04-11	101	14101	24	2	0
formosanum	form7	2014-04-25	115	14115	24	0	0
formosanum	form7	2014-05-16	136	14136	24	0	0
formosanum	form7	2014-06-13	164	14164	24	0	0
formosanum	form7	2014-07-11	192	14192	21	0	3
formosanum	form7	2014-08-15	227	14227	16	0	5
formosanum	form7	2014-09-12	255	14255	16	0	0
formosanum	form7	2014-10-03	276	14276	13	0	3
formosanum	form7	2014-11-07	311	14311	7	0	6
formosanum	form7	2014-11-28	332	14332	5	0	2
formosanum	form7	2014-12-19	353	14353	3	0	2
arbicolum	arb1	2013-05-02	122	13122	23	0	0
arbicolum	arb1	2013-06-02	153	13153	41	18	0
arbicolum	arb1	2013-07-07	188	13188	41	0	0
arbicolum	arb1	2013-08-09	221	13221	41	0	0
arbicolum	arb1	2013-09-14	257	13257	41	0	0
arbicolum	arb1	2013-10-12	285	13285	41	0	0
arbicolum	arb1	2013-11-09	313	13313	41	0	0
arbicolum	arb1	2013-12-28	362	13362	41	0	0
arbicolum	arb1	2014-03-09	68	14068	34	0	7
arbicolum	arb1	2014-03-22	81	14081	34	0	0
arbicolum	arb1	2014-04-13	103	14103	33	0	1
arbicolum	arb1	2014-04-26	116	14116	33	0	0
arbicolum	arb1	2014-05-17	137	14137	33	0	0
arbicolum	arb1	2014-06-01	152	14152	35	8	6
arbicolum	arb1	2014-06-21	172	14172	40	7	1
arbicolum	arb1	2014-08-17	229	14229	35	1	6
arbicolum	arb1	2014-10-04	277	14277	35	0	0
arbicolum	arb1	2014-11-03	307	14307	46	13	2
arbicolum	arb1	2014-11-22	326	14326	46	0	0
arbicolum	arb1	2014-12-27	361	14361	46	0	0
arbicolum	arb1	2015-02-02	33	15033	44	0	2
arbicolum	arb1	2015-02-28	59	15059	43	0	1
arbicolum	arb1	2015-03-29	88	15088	42	0	1
arbicolum	arb1	2015-04-26	116	15116	42	0	0
arbicolum	arb1	2015-06-02	153	15153	42	0	0
arbicolum	arb2	2013-05-02	122	13122	21	0	0
arbicolum	arb2	2013-06-02	153	13153	23	0	0
arbicolum	arb2	2013-07-07	188	13188	23	0	0
arbicolum	arb2	2013-08-09	221	13221	23	0	0
arbicolum	arb2	2013-09-14	257	13257	29	6	0
arbicolum	arb2	2013-10-12	285	13285	31	2	0
arbicolum	arb2	2013-11-09	313	13313	31	0	0
arbicolum	arb2	2013-12-28	362	13362	31	0	0
arbicolum	arb2	2014-03-09	68	14068	44	14	1
arbicolum	arb2	2014-03-22	81	14081	57	13	0
arbicolum	arb2	2014-04-13	103	14103	82	28	1
arbicolum	arb2	2014-04-26	116	14116	100	17	2
arbicolum	arb2	2014-05-17	137	14137	101	1	0
